Description,count
Abbott Freestyle Optium H Glucometer,581
Braun Thermoscan 6021 Thermometer,459
1st Call Mobility Bariatric Stack Chair,427
Tyco Genius 2 Tympanic Thermometer,265
Abbott Optium Glucose Analyser,234
SafePressure Bed Pad,97
 SafePresence Pressure Bed Pad,84
SafePressure Chair Pad,72
Smith & Nephew Dyonics PowerMax Elite,60
Abbott Flexiflo 2 Enteral Feeding Pump,59
Weymed 524 Patient Scales,47
Philips V60 Plus Ventilator,40
Welch Allyn 672 SureTemp PlusThermometer,37
Airsep VisionAire 5 Oxygen Concentrator,34
Philips V60 Ventilator,34
 SafePresence Bed Pad,33
SafePresence Bed Pad,24
Wellcare Tinnitus Relaxer,24
3M Bair Hugger Patient Warmer,23
ArjoHuntleigh C880L/R/2P Bed,22
Sonosite HFL38x/13-6Mhz Ultrasound Probe,22
Turun Safe Presence 70910T Bed Pad,20
Toshiba PVT-375BT 1.5-6mhz Convex Probe,20
Agilent M3150A Information Centre,18
Welch Allyn 678 SureTemp Thermometer,18
Ohmeda CO2 Absorber MK 4,17
Accoson Dial Gauge Sphygmomanometer,17
Seca 761 Stand on Dial Scales,17
Stryker 325 Leg Exerciser,16
Omron M6 Comfort(HEM-7360-E)NIBP Monitor,16
Imed 960 Infusion Pump,15
Therapy Equipment 5032 O2 DialreBull/Sch,13
Manley MP3 Ventilator,12
Goldman Tonometer,12
"1st Call Mobility 30"" Rise & Recline Chair",11
Siemens Acuson 5C1 Probe,11
Alaris Gemini PC-1 Infusion Pump,11
Ivac 580 Infusion Pump,11
Reynolds Tracker 24hr ECG Recorder,11
Toshiba PLT-1204BT 7-18MHz Linear Probe,11
Civco c-qual Carbon Fibre Breast Board,11
Imed 960A Infusion Pump,10
HP M1770 Pagewriter 200I,9
Olympus UCR insuflator,9
Topcon 3D OCT.2000 Tomography,9
Datascope Passport Physiological Monitor,9
Welch Allyn 22821 Otoscope,9
Welch Allyn 692 SureTemp PlusThermometer,9
ABBOTT PROVIDER 5500,8
Select Locomotor Rota-Solo Rota stand,8
Select Medical Contour Patient Trolley,8
Valleylab RP2 Diathermy Foot Pedal Set,7
Seca 707 Patient Scales,7
Pari Boy Type 085 Nebuliser Compressor,7
Moxa NPort 5610-16 Serial Devics Server,7
RA Lamb Hotplate E18,6
ArjoHuntleigh 25000 EL Bed,6
WHEEL CHAIR,6
Downs Cautery and Light,6
RTest Evolution ECG Event Recorder,6
Arizant Bair Hugger 505 Patient Warmer,6
Vickers 83 Radiant Infant Warmer,6
Eschmann VP 12-S Suction Unit,6
Welch Allyn Suretemp Thermometer,6
Toshiba Aplio 500 Ultrasound Machine,6
Sonosite L25x/13-6Mhz Ultrasound Probe,6
Toshiba PLT-1005BT 5-14MHz Linear Probe,6
Anthos 8001 Plate Reader,5
Luckham Heated Water Bath WB150,5
Jencons Powerpette,5
S&N Dyonics Laparoscopic Insufflator,5
Olympus HYF-XP Hysteroscope,5
Fisher & Paykel MR850 Humidifier,5
Ivac 565 Neomate Infusion Pump,5
Zeiss IOL Master,5
Seca Height Gauge,5
Hologic HB 100-EU Localizer Radiation Monitor,5
Welch Allyn 675 SureTemp Thermometer,5
Viridia CMS Physiological Monitor,5
Volker MiS Activ System,5
Accoson Duplex 0322A Sphygmomanometer,5
Toshiba PVT-661VT Transvaginal Probe,5
Toshiba PVT-674BT 3-9MHz Convex Probe,5
Toshiba PLT-705BT Cardiac Sector Probe,5
Toshiba PVT-781VT Endocavity Transducer,5
Vitalograph 3 Litre Syringe,5
Vickers 165 Resuscitaire,4
Biomerieux Vitek 2 Densichek,4
Swan AWR-SW112 Refridgerator,4
Eschmann Model MR Operating Table,4
1st call Bariatric Hire Bed.,4
1st Call Mobility Standard riser Chair.,4
S&W DMS 600/3 Defibrillator,4
Olympus TJF-240 Duodenoscope,4
Olympus GIF-H260 Lucera Vid Gastroscope,4
Olympus CF-Q260DL  Video Colonoscope,4
Welch Allyn 49024 Headlight,4
SCD Response,4
Alaris Asena PK Syringe Driver,4
Olympus Heat Probe Unit,4
